ADM2_EN,ADM2_AR,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM2ALT1_AR,ADM2ALT2_AR,ADM1_EN,ADM1_AR,ADM1_PCODE,ADM0_EN,ADM0_AR,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Gala'a Al Nahal,قلع النحل,SD12079,Galaa Al Nahal,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3861.084717
Galabat Ash-Shargiah,القلابات الشرقية,SD12083,,,,,,Gedaref,القضارف,SD12,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,4108.763672
Gebrat Al Sheikh,جبرة الشيخ,SD13027,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,50968.07031
Geisan,قيسان,SD08109,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3471.006348
Gereida,قريضة,SD03153,,,,,,South Darfur,جنوب دارفور,SD03,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2408.004639
Ghadeer,غدير,SD07108,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6651.696777
Gharb Bara,غرب بارا,SD13029,,,,,,North Kordofan,شمال كردفان,SD13,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,11280.22754
Gharb Jabal Marrah,غرب جبل مرة,SD06131,,,,,,Central Darfur,وسط دارفور,SD06,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2362.397949
Ghubaish,غبيش,SD18021,,,,,,West Kordofan,غرب كردفان,SD18,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,7246.416016
Guli,قلي,SD09052,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,3049.011963
Habila - SK,هبيلة - ج ك,SD07103,,,,,,South Kordofan,جنوب كردفان,SD07,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,6095.705078
Habila - WD,هبيلة - غ د,SD04122,,,,,,West Darfur,غرب دارفور,SD04,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,2314.130127
Hala'ib,حلايب,SD10066,Halaib,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,40646.85156
Halfa,حلفا,SD17014,,,,,,Northern,الشمالية,SD17,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,129237.4688
Halfa Aj Jadeedah,حلفا الجديدة,SD11052,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,1524.938965
Haya,هيا,SD10070,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,3/11/2020 0:00,8/31/2020 0:00,,22405.70313
